Time,Wave_Height
9.58,-0.00695739486786919
9.59,-0.0071325840371948
9.6,-0.00730765806633128
9.61,-0.00748254361712497
9.62,-0.00765716545011938
9.63,-0.00783144648539016
9.64,-0.00800530786622061
9.65,-0.00817866902554794
9.66,-0.00835144775511222
9.67,-0.00852356027723198
9.68,-0.00869492131912943
9.69,-0.00886544418972348
9.7,-0.00903504085880637
9.71,-0.00920362203851493
9.72,-0.00937109726700642
9.73,-0.0095373749942433
9.74,-0.00970236266979096
9.75,-0.00986596683252713
9.76,-0.0100280932021612
9.77,-0.0101886467724565
9.78,-0.0103475319060494
9.79,-0.0105046524307527
9.8,-0.010659911737233
9.81,-0.0108132128779457
9.82,-0.0109644586672117
9.83,-0.011113551782317
9.84,-0.0112603948655161
9.85,-0.0114048906268161
9.86,-0.0115469419474193
9.87,-0.0116864519837005
9.88,-0.0118233242715931
9.89,-0.0119574628312577
9.9,-0.012088772271907
9.91,-0.0122171578966585
9.92,-0.0123425258072883
9.93,-0.0124647830087562
9.94,-0.0125838375133752
9.95,-0.0126995984444959
9.96,-0.0128119761395791
9.97,-0.0129208822525265
